Place ID,Name,Latitude,Longitude,Address,Rating,Ratings count,Price range
ChIJac_kwNRD6oAReXBP71TJcqc,Subway,35.3573705,-119.0927831,"9W44+WV Bakersfield, CA, USA",4.2,61,1
ChIJKX5BHXBq6oARJRUrXsxKS-M,Jamba,35.33791000000001,-119.03502,"8XQ7+5X Bakersfield, CA, USA",4.4,60,1
ChIJubt0neBp6oARevNb8NnmuU0,Buck Owens' Crystal Palace,35.385596,-119.042547,"9XP4+6X Bakersfield, CA, USA",4.4,971,2
ChIJ23YQMNRr6oARobCH04jplCs,Wool Growers Restaurant,35.3753128,-118.9943389,"92G4+47 Bakersfield, CA, USA",4.6,1196,2
ChIJT3LShPBB6oARFUZPP2UN5-4,In-N-Out Burger,35.3545082,-119.0579875,"9W3R+RR Bakersfield, CA, USA",4.6,4676,1
ChIJ7Uahg3pB6oARBLXwQg3tveU,Carl's Jr.,35.3401537,-119.1045664,"8VRW+35 Bakersfield, CA, USA",3.6,164,1
ChIJm6Tb8l9q6oARaFxzvrbql2I,Little Caesars Pizza,35.33144,-119.022736,"8XJG+HW Bakersfield, CA, USA",3.8,328,1
ChIJ9XmRifpB6oARK4SGhuIhLbA,Chipotle Mexican Grill,35.3545309,-119.0570589,"9W3V+R5 Bakersfield, CA, USA",4.2,706,1
ChIJT9dXYO1p6oARWG_sgublchA,Subway,35.3806413,-119.024497,"9XJG+76 Bakersfield, CA, USA",4.2,213,1
ChIJ0_HZZY5p6oARiN4S629nRrg,Flame & Skewers Mediterranean Restaurant,35.380894,-119.016001,"9XJM+9H Bakersfield, CA, USA",4.4,237,2
ChIJe9td3Slo6oAR2OmTuryudTQ,Little Caesars Pizza,35.41266,-119.038574,"CX76+3H Bakersfield, CA, USA",3.7,594,1
ChIJwb2HOGxp6oAR96IiyKq_VDg,Little Caesars Pizza,35.396805,-118.98426,"92W8+P7 Bakersfield, CA, USA",3.5,338,1
