Place ID,Name,Latitude,Longitude,Address,Rating,Ratings count,Price range
ChIJI7EqcpTBpEwRxJUx5kD3N34,Tim Hortons,46.145031,-67.8410938,"45W5+2H Houlton, ME, USA",4.2,279,1
ChIJYyaIoBfCpEwRldwBrK31F2M,Elm Tree Diner,46.1180556,-67.8519444,"449X+66 Houlton, ME, USA",4.1,189,2
ChIJQ6cbURnCpEwRUFDX0eBMCec,Circle K,46.12331409999999,-67.8440368,"45F4+89 Houlton, ME, USA",4.9,8,1
ChIJK1O93vLBpEwRQ0_ev_nJO4k,McDonald's,46.1357092,-67.8400791,"45P5+7X Houlton, ME, USA",3.8,637,1
ChIJYwzKOx7CpEwRjFnaJ7hJAlE,Subway,46.1450184,-67.839614,"45W6+25 Houlton, ME, USA",4.4,184,1
ChIJpTwkURnCpEwRG7Dtk6tcnVk,Shell,46.12328900000001,-67.844113,"45F4+89 Houlton, ME, USA",3.7,34,2
ChIJB24D6PLBpEwRr-FLDs53Tb8,Domino's Pizza,46.1360901,-67.8389074,"45P6+CC Houlton, ME, USA",4.0,118,1
ChIJE6HJGvPBpEwRqYsz4FEuuWs,Circle K,46.1361186,-67.8399633,"45P6+C2 Houlton, ME, USA",4.5,2,1
ChIJiztBmJPBpEwRP1-fGvP-SLg,Shell,46.1419833,-67.8407333,"45R5+QP Houlton, ME, USA",4.1,31,2
ChIJz0nmlMBHs0wRR86t00r84Bs,Hart's Turkey Farm Restaurant,43.6475358,-71.49958269999999,"JGX2+25 Meredith, NH, USA",4.4,1732,2
ChIJf7-PE3FDs0wR0xVfkYveclQ,The Manor on Golden Pond,43.730451,-71.579528,"PCJC+55 Holderness, NH, USA",4.6,52,2
ChIJjZnoW_Rq4okR4aNQttjgJno,Buffalo Wild Wings,43.20781539999999,-71.52881049999999,"6F5C+4F Concord, NH, USA",4.0,1105,2
ChIJv9o6K9sn4okRmKta-TOhNBc,Subway,43.1106419,-71.9200716,"436H+7X Hillsboro, NH, USA",3.8,51,1
ChIJqypRnSM0s0wRoSJdEdFt7x8,Subway,43.5421712,-71.4653478,"GGRM+VV Laconia, NH, USA",4.0,145,1
