City,Lat,Lng,State,Place_ID,Price_range,Rating,Ratings_count
Bushnell,40.5458326,-90.5047247,IL,ChIJj9CtH2dR4IcRp1fF4MH8gYQ,1,3.5,182
Bushnell,40.5451402,-90.5039359,IL,ChIJdWZb411R4IcRROmrz5raPH8,1,3.7,203
Saucillo,28.024248,-105.2993923,Chihuahua,ChIJ_Twq7cRF64YR301jebDq5uA,0,3.7,6
Saucillo,28.022642,-105.2929644,Chihuahua,ChIJzZt9JsFF64YRw1mFm1znYkc,0,3.7,6
Saucillo,28.023113,-105.293678,Chihuahua,ChIJ7_g9MsFF64YRqwhqiY49uA8,0,4.3,55
Saucillo,28.0234012,-105.3194427,Chihuahua,ChIJ-_8uw3BG64YR34ShVzahHzo,0,4.3,76
Saucillo,28.0234398,-105.3195339,Chihuahua,ChIJt5zL13BG64YRrHAEFyHLRdM,0,4.5,2
Saucillo,28.023809,-105.3200185,Chihuahua,ChIJyZea23BG64YRHyh8jRbsswQ,0,4.9,7
Saucillo,28.0234169,-105.2903855,Chihuahua,ChIJ_-CBrcBF64YRlz4OKpOuOIg,0,4.4,110
Saucillo,28.0260935,-105.3161314,Chihuahua,ChIJLfHuh6RH64YRuDGIO2Lt5bk,0,0,0
Saucillo,28.0289635,-105.2984485,Chihuahua,ChIJ4VNSf89F64YRKPMararik90,0,5,4
Saucillo,28.0287204,-105.2973966,Chihuahua,ChIJ6zQdYs9F64YRVILRTpUAunM,0,4.5,19
Saucillo,28.0256049,-105.2891,Chihuahua,ChIJyd_ibzJF64YRJ1UPRzbL5aM,0,0,0
Saucillo,28.0287726,-105.2968254,Chihuahua,ChIJr2QWEYdF64YREhg5cocFP-8,0,0,0
Saucillo,28.0270484,-105.2916476,Chihuahua,ChIJw4HX8cdF64YREDC2kOW4EOk,2,4.3,134
Saucillo,28.0286877,-105.2957769,Chihuahua,ChIJX7y4aH5F64YRjUwd_qZlxPM,0,0,0
Saucillo,28.0284441,-105.2933731,Chihuahua,ChIJM2X_ETtF64YRYnfwe8JiguI,0,0,0
Saucillo,28.0282996,-105.2929781,Chihuahua,ChIJ0-jZM8ZF64YR1QUlDYciYy8,0,4.3,3
Saucillo,28.0284649,-105.2931739,Chihuahua,ChIJ06sF3xlF64YREaTUt6VH9Is,0,5,2
Saucillo,28.025374,-105.285627,Chihuahua,ChIJy6YC0Y9F64YRy4K7QGIVqhk,0,5,3
Saucillo,28.0297667,-105.2895422,Chihuahua,ChIJ7Ts7pZ5F64YReUsbtg4l47k,0,5,2
Saucillo,28.0330375,-105.2998221,Chihuahua,ChIJBUO8a85F64YR1vUEV5NQi9s,0,4.6,29
Jonesville,31.6259498,-91.8187484,LA,ChIJceA-1_d_L4YRTtHE54MnYzo,1,4,318
Jonesville,31.626297,-91.818911,LA,ChIJe9Ao_rV_L4YRy8L3_t1WxYE,0,4.8,9
Jonesville,31.6266299,-91.8196616,LA,ChIJrZrKgeV_L4YR-1WBuI-Hb7U,2,4,2
Jonesville,31.6283311,-91.8210851,LA,ChIJnXtak-9_L4YR9DmHBW9ONZo,0,4.1,68
Jonesville,31.6210165,-91.821094,LA,ChIJZyqUXuN_L4YRxVHoKmaRfVc,0,4.6,77
Jonesville,31.6288874,-91.8233759,LA,ChIJb1hHJ_B_L4YRnP872W8fUcE,0,4.4,42
Jonesville,31.6292851,-91.8265046,LA,ChIJudfFJfB_L4YRCLGEgbH3VRY,2,4,104
Jonesville,31.6292781,-91.82975,LA,ChIJAT_DIPd_L4YRnpmb5_E2YBE,2,4.5,327
Jonesville,31.6286876,-91.8325978,LA,ChIJjak2tvd_L4YR7HzquIsmT2o,1,4.4,137
Jonesville,31.6281901,-91.8395323,LA,ChIJW2OG4BqAL4YR9wef7sRH97A,0,4.8,4
Maria,34.918082,-120.5164346,CA,ChIJraQzqNpr7IARd5x2eh6nF4o,0,5,3
Guadalupe,34.957729,-120.5783331,CA,ChIJE5v_u9ND7IARrv9LPfB1wQ4,1,4.8,50
Guadalupe,34.9582184,-120.5779594,CA,ChIJX4T_u9ND7IAR0mMJguLck4s,1,4.8,171
Guadalupe,34.9607321,-120.5743554,CA,ChIJy47HztJD7IARRzm4L9IOJUw,1,4.3,113
Guadalupe,34.964571,-120.5740625,CA,ChIJZ7jqLM1D7IARl05wJUkIGZ4,0,0,0
Guadalupe,34.968252,-120.574104,CA,ChIJlboKBhZD7IARbkjeX1lHzkQ,0,4.6,114
Guadalupe,34.968787,-120.5740218,CA,ChIJ38RGNctD7IARCW63w6ykARo,2,4.5,172
Guadalupe,34.9693884,-120.5734249,CA,ChIJadtVlkxD7IARm84-fIz4KzE,0,4.6,58
Guadalupe,34.9695099,-120.5733493,CA,ChIJo-1txDRC7IARFbiXSBChz58,0,4.3,73
Guadalupe,34.9694542,-120.5739956,CA,ChIJl8kQLctD7IARz-f8Mbj4O4g,1,4.6,178
Guadalupe,34.9696148,-120.5737515,CA,ChIJMwU60jRC7IARRynuFt7HPaA,0,1,1
Guadalupe,34.9696258,-120.573756,CA,ChIJlYGm0zRC7IARztUCfYPvFRo,0,4.7,74
Guadalupe,34.9697251,-120.5737149,CA,ChIJAyVrzzRC7IARmg62kwLrMiY,0,4.6,53
Guadalupe,34.9701661,-120.5735645,CA,ChIJNwchKjVC7IARm2N4nICxnLk,1,4.6,44
Guadalupe,34.9703044,-120.5729794,CA,ChIJAZB5JzVC7IARkSTDfgFg94w,1,4.6,153
Guadalupe,34.9705411,-120.5726717,CA,ChIJUamtITVC7IAR5y08sGsA0zQ,0,4.6,145
Guadalupe,34.970959,-120.5725817,CA,ChIJ50nsCaRD7IARi5KzZL5Cg7o,0,4,39
Orcutt,34.8816047,-120.4974957,CA,ChIJ8eMyM-oV7IARKy8FboPoTxg,0,4.8,5
